,Building,Profit_MIP,Profit_DDPG,Diff
0,1,-778.7179575905021,-964.4431139647336,185.72515637423146
1,2,-1055.8199732492085,-1105.157439766849,49.33746651764045
2,3,-212.16839365120072,-310.47246960413844,98.30407595293772
3,4,-916.547858233918,-921.4530771927904,4.90521895887241
4,5,-1044.8480032232442,-1089.0069698736918,44.15896665044761
5,6,-2732.195821853992,-2729.87577815262,-2.3200437013720148
6,7,-474.4016052169656,-662.6026781277869,188.20107291082132
7,8,-2736.204972823455,-2784.332823110871,48.12785028741564
8,9,-727.6680647237563,-812.4253402677288,84.75727554397247
9,10,-907.4271365893208,-953.25067254598,45.82353595665927
10,11,-1049.5903013717068,-1090.567810961896,40.97750959018913
11,12,-1138.33974137115,-1134.7643052402848,-3.575436130865228
12,13,-430.6009468788475,-554.0232983428003,123.42235146395285
13,14,-759.9762443682843,-808.7183228903824,48.742078522098154
14,15,-587.1656279493708,-633.4007822418345,46.235154292463676
15,16,-964.1559002160732,-1071.7762449700035,107.62034475393034
16,17,-1753.7002193513597,-1774.920420613569,21.22020126220923
17,18,-1545.0063462280266,-1625.2155939213858,80.2092476933592
18,19,-280.7327767255524,-306.25342550918697,25.520648783634556
19,20,-1328.0704449589566,-1394.0636500379198,65.99320507896323
20,21,-1940.518306925497,-1941.7696751499548,1.2513682244577922
21,22,-747.8643964634166,-807.1430853735515,59.27868891013486
22,23,-898.4454280994056,-1009.0118483710468,110.56642027164116
23,24,-263.7403493813547,-389.81872082099216,126.07837143963746
24,25,-1351.008189801023,-1380.4069175035086,29.39872770248553
25,26,-1780.6102544864398,-1781.1842481605563,0.5739936741165366
26,27,-1047.400584684532,-1059.8273676066704,12.426782922138273
27,28,-609.9070389139229,-618.7790304407872,8.871991526864349
28,29,-892.7330667699486,-970.3632824252122,77.63021565526367
29,30,-575.5599280988988,-652.4300655847189,76.87013748582012
