Building,Total Profit,Total Emissions
1,752.139813625633,3493.3782585274134
2,1022.1875765958617,4143.980002212004
3,202.10883319816236,907.0466402927121
4,883.3585997464681,3776.4939008408505
5,1011.7244885841465,4254.805111089638
6,2659.5543057323143,10726.327262018196
7,452.90312924779465,2028.8538018371526
8,2662.525922418017,10135.81935876942
9,699.715807238348,2956.9474598855854
10,876.0694144052529,3681.6024177867225
11,1013.2308516004332,4190.629104752585
12,1100.246982637749,4632.261548833332
13,408.82054691415874,1719.544631825915
14,732.6264058880964,3126.144282270307
15,567.1739085028278,2391.4510853027523
16,925.0683720915121,3706.301983481204
17,1701.731695886792,6709.767602856382
18,1496.575030781107,6143.900730741828
19,270.16882255688216,1179.1893374261542
20,1289.9857639860254,5114.435919119784
21,1882.7698735332049,7603.600422945691
22,721.8318184947759,2975.1546578124444
23,872.9281527751253,3442.681556058088
24,244.4173437056835,1881.428636152181
25,1305.6970275146432,4983.913684778517
26,1728.9328005868674,6907.591424290413
27,1008.8904598172468,4121.972372130671
28,588.2163779365447,2489.9497134101466
29,856.8316396618011,3371.99258277862
30,553.4783325046287,2332.2479979165423
