,Building,Total Profit,Total Emissions
0,31,673.6901156258715,1609.7506574251904
1,32,739.5198496281157,1566.2134000060212
2,33,1219.2788870642798,3198.670920139386
3,34,1112.835471311046,2554.1418355365577
4,35,1916.6690204040801,5376.152548562469
5,36,1245.4878222185937,3229.470780970716
6,37,492.85967556634375,1026.078296631912
7,38,742.1817962182746,1576.3348028879707
8,39,1280.8626394241646,3098.813992116676
9,40,543.7350047835745,1109.0412355252738
10,41,672.5238762892116,1392.7772777267783
11,42,944.6864006206939,2618.6278781693127
12,43,1165.3687322789929,2921.605818585716
13,44,738.4494161554343,1772.693598916224
14,45,346.04268643709776,732.5140972663186
15,46,1581.7048721701567,3716.4129571390167
16,47,948.0204616654513,2084.962127885446
17,48,315.89741332209064,725.5609834549674
18,49,918.6852131913367,1997.8542698375961
19,50,331.04435577591477,662.7191162654068
20,51,914.1711297149545,2233.6735753857306
21,52,908.6275107652609,2151.209058206875
22,53,1198.1920453473374,3493.965189839865
23,54,1080.752062945978,2667.03965677972
24,55,1479.1781740774186,4067.875717527137
25,56,2269.3417985047713,6905.674618491512
26,57,952.3396568758004,2280.87329660731
27,58,2019.4299906479723,5435.976103467636
28,59,962.8520380507366,2817.472603920564
29,60,243.55695046892822,600.6986701588702
